id	Date	City	Temperature	Sales
32318	2012-04-20	New York City	61.1	144
32319	2012-04-21	New York City	62.0	147
32320	2012-04-22	New York City	52.6	144
32321	2012-04-23	New York City	51.3	160
32322	2012-04-24	New York City	49.7	150
32323	2012-04-25	New York City	54.6	152
32324	2012-04-26	New York City	53.7	147
32325	2012-04-27	New York City	51.4	150
32326	2012-04-28	New York City	47.9	163
32327	2012-04-29	New York City	54.7	161
32328	2012-04-30	New York City	53.0	150
32329	2012-05-01	New York City	57.2	159
32330	2012-05-02	New York City	53.6	169
32331	2012-05-03	New York City	54.3	151
32332	2012-05-04	New York City	60.0	169
32333	2012-05-05	New York City	57.9	157
32334	2012-05-06	New York City	58.5	163
32335	2012-05-07	New York City	57.5	168
32336	2012-05-08	New York City	58.9	173
32337	2012-05-09	New York City	62.3	163
32338	2012-05-10	New York City	60.7	160
32339	2012-05-11	New York City	59.5	170
32340	2012-05-12	New York City	66.8	161
32341	2012-05-13	New York City	72.7	169
32342	2012-05-14	New York City	69.5	180
32343	2012-05-15	New York City	63.9	181
32344	2012-05-16	New York City	66.1	165
32345	2012-05-17	New York City	65.7	182
32346	2012-05-18	New York City	63.1	171
32347	2012-05-19	New York City	65.3	174
32348	2012-05-20	New York City	65.9	177
32349	2012-05-21	New York City	60.4	171
32350	2012-05-22	New York City	60.0	178
32351	2012-05-23	New York City	68.3	182
32352	2012-05-24	New York City	65.2	172
32353	2012-05-25	New York City	63.4	175
32354	2012-05-26	New York City	73.3	182
32355	2012-05-27	New York City	74.5	189
32356	2012-05-28	New York City	78.1	189
32357	2012-05-29	New York City	82.6	189
32358	2012-05-30	New York City	75.0	191
32359	2012-05-31	New York City	73.5	191
32360	2012-06-01	New York City	68.2	184
32361	2012-06-02	New York City	69.0	186
32362	2012-06-03	New York City	67.8	186
32363	2012-06-04	New York City	62.0	190
32364	2012-06-05	New York City	58.3	192
32365	2012-06-06	New York City	63.6	185
32366	2012-06-07	New York City	67.5	196
32367	2012-06-08	New York City	67.2	205
32368	2012-06-09	New York City	74.4	196
32369	2012-06-10	New York City	74.2	197
32370	2012-06-11	New York City	71.6	190
32371	2012-06-12	New York City	68.5	202
32372	2012-06-13	New York City	67.2	209
32373	2012-06-14	New York City	69.3	207
32374	2012-06-15	New York City	70.3	197
32375	2012-06-16	New York City	70.2	214
32376	2012-06-17	New York City	65.3	214
32377	2012-06-18	New York City	63.9	207
32378	2012-06-19	New York City	68.3	210
32379	2012-06-20	New York City	81.4	214
32380	2012-06-21	New York City	89.2	210
32381	2012-06-22	New York City	85.1	209
32382	2012-06-23	New York City	76.4	209
32383	2012-06-24	New York City	74.0	214
32384	2012-06-25	New York City	71.8	221
32385	2012-06-26	New York City	66.5	213
32386	2012-06-27	New York City	73.5	206
32387	2012-06-28	New York City	79.5	224
32388	2012-06-29	New York City	85.7	210
32389	2012-06-30	New York City	88.5	220
32390	2012-07-01	New York City	86.7	222
32391	2012-07-02	New York City	81.7	222
32392	2012-07-03	New York City	81.4	225
32393	2012-07-04	New York City	83.4	226
32394	2012-07-05	New York City	87.8	225
32395	2012-07-06	New York City	82.2	210
32396	2012-07-07	New York City	86.2	205
32397	2012-07-08	New York City	82.8	220
32398	2012-07-09	New York City	79.7	210
32399	2012-07-10	New York City	77.7	210
32400	2012-07-11	New York City	78.1	212
32401	2012-07-12	New York City	78.8	209
32402	2012-07-13	New York City	80.9	206
32403	2012-07-14	New York City	80.7	214
32404	2012-07-15	New York City	81.4	196
32405	2012-07-16	New York City	81.0	201
32406	2012-07-17	New York City	87.2	206
32407	2012-07-18	New York City	89.0	205
32408	2012-07-19	New York City	75.3	204
32409	2012-07-20	New York City	69.2	197
32410	2012-07-21	New York City	69.3	202
32411	2012-07-22	New York City	74.8	192
32412	2012-07-23	New York City	77.4	195
32413	2012-07-24	New York City	83.1	206
32414	2012-07-25	New York City	78.2	199
32415	2012-07-26	New York City	81.4	188
32416	2012-07-27	New York City	80.3	195
32417	2012-07-28	New York City	76.4	189
32418	2012-07-29	New York City	72.7	189
32419	2012-07-30	New York City	74.6	185
32420	2012-07-31	New York City	74.0	193
32421	2012-08-01	New York City	75.2	196
32422	2012-08-02	New York City	79.1	179
32423	2012-08-03	New York City	83.4	177
32424	2012-08-04	New York City	83.4	183
32425	2012-08-05	New York City	83.4	192
32426	2012-08-06	New York City	80.2	188
32427	2012-08-07	New York City	77.3	190
32428	2012-08-08	New York City	79.8	172
32429	2012-08-09	New York City	81.2	190
32430	2012-08-10	New York City	79.2	181
32431	2012-08-11	New York City	80.8	185
32432	2012-08-12	New York City	81.0	177
32433	2012-08-13	New York City	79.1	174
32434	2012-08-14	New York City	78.9	170
32435	2012-08-15	New York City	76.2	182
32436	2012-08-16	New York City	75.6	168
32437	2012-08-17	New York City	81.3	180
32438	2012-08-18	New York City	72.7	177
32439	2012-08-19	New York City	72.0	169
32440	2012-08-20	New York City	73.6	171
32441	2012-08-21	New York City	74.9	169
32442	2012-08-22	New York City	76.6	163
32443	2012-08-23	New York City	77.5	160
32444	2012-08-24	New York City	78.7	167
32445	2012-08-25	New York City	77.5	159
32446	2012-08-26	New York City	74.5	160
32447	2012-08-27	New York City	75.8	167
32448	2012-08-28	New York City	79.9	169
32449	2012-08-29	New York City	75.2	160
32450	2012-08-30	New York City	75.2	154
32451	2012-08-31	New York City	81.9	156
32452	2012-09-01	New York City	83.4	161
32453	2012-09-02	New York City	76.1	159
32454	2012-09-03	New York City	74.7	159
32455	2012-09-04	New York City	74.5	160
32456	2012-09-05	New York City	78.6	150
32457	2012-09-06	New York City	75.9	158
32458	2012-09-07	New York City	79.0	155
32459	2012-09-08	New York City	78.3	149
32460	2012-09-09	New York City	70.9	152
32461	2012-09-10	New York City	67.9	151
32462	2012-09-11	New York City	65.1	146
32463	2012-09-12	New York City	70.8	149
32464	2012-09-13	New York City	71.9	147
32465	2012-09-14	New York City	72.1	135
32466	2012-09-15	New York City	69.3	136
32467	2012-09-16	New York City	67.9	137
32468	2012-09-17	New York City	70.0	149
32469	2012-09-18	New York City	72.7	135
32470	2012-09-19	New York City	67.5	140
32471	2012-09-20	New York City	63.3	131
32472	2012-09-21	New York City	66.1	128
32473	2012-09-22	New York City	67.7	127
32474	2012-09-23	New York City	66.0	138
32475	2012-09-24	New York City	62.1	143
32476	2012-09-25	New York City	64.1	131
32477	2012-09-26	New York City	69.4	139
32478	2012-09-27	New York City	71.4	130
32479	2012-09-28	New York City	67.5	140
32480	2012-09-29	New York City	62.1	132
32481	2012-09-30	New York City	62.4	123
32482	2012-10-01	New York City	63.0	125
32483	2012-10-02	New York City	66.5	122
32484	2012-10-03	New York City	66.3	116
32485	2012-10-04	New York City	70.1	128
32486	2012-10-05	New York City	71.4	133
32487	2012-10-06	New York City	70.5	116
32488	2012-10-07	New York City	54.8	126
32489	2012-10-08	New York City	51.7	124
32490	2012-10-09	New York City	55.4	118
32491	2012-10-10	New York City	59.8	114
32492	2012-10-11	New York City	56.0	116
32493	2012-10-12	New York City	53.7	115
32494	2012-10-13	New York City	47.3	124
32495	2012-10-14	New York City	59.7	122
32496	2012-10-15	New York City	67.0	112
32497	2012-10-16	New York City	58.1	113
32498	2012-10-17	New York City	53.9	104
32499	2012-10-18	New York City	58.4	102
32500	2012-10-19	New York City	64.9	116
32501	2012-10-20	New York City	64.9	111
32502	2012-10-21	New York City	58.9	102
32503	2012-10-22	New York City	60.4	105
32504	2012-10-23	New York City	61.9	113
32505	2012-10-24	New York City	58.2	103
32506	2012-10-25	New York City	58.9	105
32507	2012-10-26	New York City	62.2	99
32508	2012-10-27	New York City	63.2	104
32509	2012-10-28	New York City	59.2	103
32510	2012-10-29	New York City	58.4	98
32511	2012-10-30	New York City	57.7	103
32512	2012-10-31	New York City	51.4	107
32513	2012-11-01	New York City	47.5	99
32514	2012-11-02	New York City	49.2	99
32515	2012-11-03	New York City	46.6	103
32516	2012-11-04	New York City	43.2	95
32517	2012-11-05	New York City	43.2	90
32518	2012-11-06	New York City	38.4	84
32519	2012-11-07	New York City	38.9	94
32520	2012-11-08	New York City	40.1	91
32521	2012-11-09	New York City	44.9	83
32522	2012-11-10	New York City	49.6	92
32523	2012-11-11	New York City	54.1	96
32524	2012-11-12	New York City	56.0	79
32525	2012-11-13	New York City	53.3	85
32526	2012-11-14	New York City	43.3	76
32527	2012-11-15	New York City	41.7	80
32528	2012-11-16	New York City	42.6	79
32529	2012-11-17	New York City	44.8	73
32530	2012-11-18	New York City	44.7	70
32531	2012-11-19	New York City	43.6	88
32532	2012-11-20	New York City	45.3	72
32533	2012-11-21	New York City	47.5	81
32534	2012-11-22	New York City	47.6	85
32535	2012-11-23	New York City	48.5	74
32536	2012-11-24	New York City	46.0	67
32537	2012-11-25	New York City	38.5	80
32538	2012-11-26	New York City	42.3	64
32539	2012-11-27	New York City	40.5	78
32540	2012-11-28	New York City	38.5	78
32541	2012-11-29	New York City	39.8	68
32542	2012-11-30	New York City	43.0	75
32543	2012-12-01	New York City	39.5	76
32544	2012-12-02	New York City	44.3	66
32545	2012-12-03	New York City	53.9	59
32546	2012-12-04	New York City	51.4	73
32547	2012-12-05	New York City	53.0	67
32548	2012-12-06	New York City	36.7	68
32549	2012-12-07	New York City	40.9	64
32550	2012-12-08	New York City	46.9	58
32551	2012-12-09	New York City	47.5	68
32552	2012-12-10	New York City	50.6	63
32553	2012-12-11	New York City	49.8	64
32554	2012-12-12	New York City	41.7	50
32555	2012-12-13	New York City	41.8	59
32556	2012-12-14	New York City	42.9	54
32557	2012-12-15	New York City	44.0	49
32558	2012-12-16	New York City	44.2	59
32559	2012-12-17	New York City	42.8	46
32560	2012-12-18	New York City	47.3	41
32561	2012-12-19	New York City	45.4	44
32562	2012-12-20	New York City	40.7	52
32563	2012-12-21	New York City	48.3	56
32564	2012-12-22	New York City	38.4	51
32565	2012-12-23	New York City	39.3	48
32566	2012-12-24	New York City	38.8	34
32567	2012-12-25	New York City	37.5	43
32568	2012-12-26	New York City	33.2	42
32569	2012-12-27	New York City	39.1	48
32570	2012-12-28	New York City	33.8	47
32571	2012-12-29	New York City	33.5	33
32572	2012-12-30	New York City	33.5	36
32573	2012-12-31	New York City	33.0	39
