id;Date;City;Temperature;Sales
32306;08.04.2012;New York City;55.2;129
32307;09.04.2012;New York City;58.2;127
32308;10.04.2012;New York City;55.8;140
32309;11.04.2012;New York City;48.9;144
32310;12.04.2012;New York City;51.2;141
32311;13.04.2012;New York City;54.4;138
32312;14.04.2012;New York City;59.9;142
32313;15.04.2012;New York City;68.5;136
32314;16.04.2012;New York City;73.1;138
32315;17.04.2012;New York City;72.7;149
32316;18.04.2012;New York City;58.8;141
32317;19.04.2012;New York City;52.9;148
32318;20.04.2012;New York City;61.1;144
32319;21.04.2012;New York City;62.0;147
32320;22.04.2012;New York City;52.6;144
32321;23.04.2012;New York City;51.3;160
32322;24.04.2012;New York City;49.7;150
32323;25.04.2012;New York City;54.6;152
32324;26.04.2012;New York City;53.7;147
32325;27.04.2012;New York City;51.4;150
32326;28.04.2012;New York City;47.9;163
32327;29.04.2012;New York City;54.7;161
32328;30.04.2012;New York City;53.0;150
32329;01.05.2012;New York City;57.2;159
32330;02.05.2012;New York City;53.6;169
32331;03.05.2012;New York City;54.3;151
32332;04.05.2012;New York City;60.0;169
32333;05.05.2012;New York City;57.9;157
32334;06.05.2012;New York City;58.5;163
32335;07.05.2012;New York City;57.5;168
32336;08.05.2012;New York City;58.9;173
32337;09.05.2012;New York City;62.3;163
32338;10.05.2012;New York City;60.7;160
32339;11.05.2012;New York City;59.5;170
32340;12.05.2012;New York City;66.8;161
32341;13.05.2012;New York City;72.7;169
32342;14.05.2012;New York City;69.5;180
32343;15.05.2012;New York City;63.9;181
32344;16.05.2012;New York City;66.1;165
32345;17.05.2012;New York City;65.7;182
32346;18.05.2012;New York City;63.1;171
32347;19.05.2012;New York City;65.3;174
32348;20.05.2012;New York City;65.9;177
32349;21.05.2012;New York City;60.4;171
32350;22.05.2012;New York City;60.0;178
32351;23.05.2012;New York City;68.3;182
32352;24.05.2012;New York City;65.2;172
32353;25.05.2012;New York City;63.4;175
32354;26.05.2012;New York City;73.3;182
32355;27.05.2012;New York City;74.5;189
32356;28.05.2012;New York City;78.1;189
32357;29.05.2012;New York City;82.6;189
32358;30.05.2012;New York City;75.0;191
32359;31.05.2012;New York City;73.5;191
32360;01.06.2012;New York City;68.2;184
32361;02.06.2012;New York City;69.0;186
32362;03.06.2012;New York City;67.8;186
32363;04.06.2012;New York City;62.0;190
32364;05.06.2012;New York City;58.3;192
32365;06.06.2012;New York City;63.6;185
32366;07.06.2012;New York City;67.5;196
32367;08.06.2012;New York City;67.2;205
32368;09.06.2012;New York City;74.4;196
32369;10.06.2012;New York City;74.2;197
32370;11.06.2012;New York City;71.6;190
32371;12.06.2012;New York City;68.5;202
32372;13.06.2012;New York City;67.2;209
32373;14.06.2012;New York City;69.3;207
32374;15.06.2012;New York City;70.3;197
32375;16.06.2012;New York City;70.2;214
32376;17.06.2012;New York City;65.3;214
32377;18.06.2012;New York City;63.9;207
32378;19.06.2012;New York City;68.3;210
32379;20.06.2012;New York City;81.4;214
32380;21.06.2012;New York City;89.2;210
32381;22.06.2012;New York City;85.1;209
32382;23.06.2012;New York City;76.4;209
32383;24.06.2012;New York City;74.0;214
32384;25.06.2012;New York City;71.8;221
32385;26.06.2012;New York City;66.5;213
32386;27.06.2012;New York City;73.5;206
32387;28.06.2012;New York City;79.5;224
32388;29.06.2012;New York City;85.7;210
32389;30.06.2012;New York City;88.5;220
32390;01.07.2012;New York City;86.7;222
32391;02.07.2012;New York City;81.7;222
32392;03.07.2012;New York City;81.4;225
32393;04.07.2012;New York City;83.4;226
32394;05.07.2012;New York City;87.8;225
32395;06.07.2012;New York City;82.2;210
32396;07.07.2012;New York City;86.2;205
32397;08.07.2012;New York City;82.8;220
32398;09.07.2012;New York City;79.7;210
32399;10.07.2012;New York City;77.7;210
32400;11.07.2012;New York City;78.1;212
32401;12.07.2012;New York City;78.8;209
32402;13.07.2012;New York City;80.9;206
32403;14.07.2012;New York City;80.7;214
32404;15.07.2012;New York City;81.4;196
32405;16.07.2012;New York City;81.0;201
32406;17.07.2012;New York City;87.2;206
32407;18.07.2012;New York City;89.0;205
32408;19.07.2012;New York City;75.3;204
32409;20.07.2012;New York City;69.2;197
32410;21.07.2012;New York City;69.3;202
32411;22.07.2012;New York City;74.8;192
32412;23.07.2012;New York City;77.4;195
32413;24.07.2012;New York City;83.1;206
32414;25.07.2012;New York City;78.2;199
32415;26.07.2012;New York City;81.4;188
32416;27.07.2012;New York City;80.3;195
32417;28.07.2012;New York City;76.4;189
32418;29.07.2012;New York City;72.7;189
32419;30.07.2012;New York City;74.6;185
32420;31.07.2012;New York City;74.0;193
32421;01.08.2012;New York City;75.2;196
32422;02.08.2012;New York City;79.1;179
32423;03.08.2012;New York City;83.4;177
32424;04.08.2012;New York City;83.4;183
32425;05.08.2012;New York City;83.4;192
32426;06.08.2012;New York City;80.2;188
32427;07.08.2012;New York City;77.3;190
32428;08.08.2012;New York City;79.8;172
32429;09.08.2012;New York City;81.2;190
32430;10.08.2012;New York City;79.2;181
32431;11.08.2012;New York City;80.8;185
32432;12.08.2012;New York City;81.0;177
32433;13.08.2012;New York City;79.1;174
32434;14.08.2012;New York City;78.9;170
32435;15.08.2012;New York City;76.2;182
32436;16.08.2012;New York City;75.6;168
32437;17.08.2012;New York City;81.3;180
32438;18.08.2012;New York City;72.7;177
32439;19.08.2012;New York City;72.0;169
32440;20.08.2012;New York City;73.6;171
32441;21.08.2012;New York City;74.9;169
32442;22.08.2012;New York City;76.6;163
32443;23.08.2012;New York City;77.5;160
32444;24.08.2012;New York City;78.7;167
32445;25.08.2012;New York City;77.5;159
32446;26.08.2012;New York City;74.5;160
32447;27.08.2012;New York City;75.8;167
32448;28.08.2012;New York City;79.9;169
32449;29.08.2012;New York City;75.2;160
32450;30.08.2012;New York City;75.2;154
32451;31.08.2012;New York City;81.9;156
32452;01.09.2012;New York City;83.4;161
32453;02.09.2012;New York City;76.1;159
32454;03.09.2012;New York City;74.7;159
32455;04.09.2012;New York City;74.5;160
32456;05.09.2012;New York City;78.6;150
32457;06.09.2012;New York City;75.9;158
32458;07.09.2012;New York City;79.0;155
32459;08.09.2012;New York City;78.3;149
32460;09.09.2012;New York City;70.9;152
32461;10.09.2012;New York City;67.9;151
32462;11.09.2012;New York City;65.1;146
32463;12.09.2012;New York City;70.8;149
32464;13.09.2012;New York City;71.9;147
32465;14.09.2012;New York City;72.1;135
32466;15.09.2012;New York City;69.3;136
32467;16.09.2012;New York City;67.9;137
32468;17.09.2012;New York City;70.0;149
32469;18.09.2012;New York City;72.7;135
32470;19.09.2012;New York City;67.5;140
32471;20.09.2012;New York City;63.3;131
32472;21.09.2012;New York City;66.1;128
32473;22.09.2012;New York City;67.7;127
32474;23.09.2012;New York City;66.0;138
32475;24.09.2012;New York City;62.1;143
32476;25.09.2012;New York City;64.1;131
32477;26.09.2012;New York City;69.4;139
32478;27.09.2012;New York City;71.4;130
32479;28.09.2012;New York City;67.5;140
32480;29.09.2012;New York City;62.1;132
32481;30.09.2012;New York City;62.4;123
32482;01.10.2012;New York City;63.0;125
32483;02.10.2012;New York City;66.5;122
32484;03.10.2012;New York City;66.3;116
32485;04.10.2012;New York City;70.1;128
32486;05.10.2012;New York City;71.4;133
32487;06.10.2012;New York City;70.5;116
32488;07.10.2012;New York City;54.8;126
32489;08.10.2012;New York City;51.7;124
32490;09.10.2012;New York City;55.4;118
32491;10.10.2012;New York City;59.8;114
32492;11.10.2012;New York City;56.0;116
32493;12.10.2012;New York City;53.7;115
32494;13.10.2012;New York City;47.3;124
32495;14.10.2012;New York City;59.7;122
32496;15.10.2012;New York City;67.0;112
32497;16.10.2012;New York City;58.1;113
32498;17.10.2012;New York City;53.9;104
32499;18.10.2012;New York City;58.4;102
32500;19.10.2012;New York City;64.9;116
32501;20.10.2012;New York City;64.9;111
32502;21.10.2012;New York City;58.9;102
32503;22.10.2012;New York City;60.4;105
32504;23.10.2012;New York City;61.9;113
32505;24.10.2012;New York City;58.2;103
32506;25.10.2012;New York City;58.9;105
32507;26.10.2012;New York City;62.2;99
32508;27.10.2012;New York City;63.2;104
32509;28.10.2012;New York City;59.2;103
32510;29.10.2012;New York City;58.4;98
32511;30.10.2012;New York City;57.7;103
32512;31.10.2012;New York City;51.4;107
32513;01.11.2012;New York City;47.5;99
32514;02.11.2012;New York City;49.2;99
32515;03.11.2012;New York City;46.6;103
32516;04.11.2012;New York City;43.2;95
32517;05.11.2012;New York City;43.2;90
32518;06.11.2012;New York City;38.4;84
32519;07.11.2012;New York City;38.9;94
32520;08.11.2012;New York City;40.1;91
32521;09.11.2012;New York City;44.9;83
32522;10.11.2012;New York City;49.6;92
32523;11.11.2012;New York City;54.1;96
32524;12.11.2012;New York City;56.0;79
32525;13.11.2012;New York City;53.3;85
32526;14.11.2012;New York City;43.3;76
32527;15.11.2012;New York City;41.7;80
32528;16.11.2012;New York City;42.6;79
32529;17.11.2012;New York City;44.8;73
32530;18.11.2012;New York City;44.7;70
32531;19.11.2012;New York City;43.6;88
32532;20.11.2012;New York City;45.3;72
32533;21.11.2012;New York City;47.5;81
32534;22.11.2012;New York City;47.6;85
32535;23.11.2012;New York City;48.5;74
32536;24.11.2012;New York City;46.0;67
32537;25.11.2012;New York City;38.5;80
32538;26.11.2012;New York City;42.3;64
32539;27.11.2012;New York City;40.5;78
32540;28.11.2012;New York City;38.5;78
32541;29.11.2012;New York City;39.8;68
32542;30.11.2012;New York City;43.0;75
32543;01.12.2012;New York City;39.5;76
32544;02.12.2012;New York City;44.3;66
32545;03.12.2012;New York City;53.9;59
32546;04.12.2012;New York City;51.4;73
32547;05.12.2012;New York City;53.0;67
32548;06.12.2012;New York City;36.7;68
32549;07.12.2012;New York City;40.9;64
32550;08.12.2012;New York City;46.9;58
32551;09.12.2012;New York City;47.5;68
32552;10.12.2012;New York City;50.6;63
32553;11.12.2012;New York City;49.8;64
32554;12.12.2012;New York City;41.7;50
32555;13.12.2012;New York City;41.8;59
32556;14.12.2012;New York City;42.9;54
32557;15.12.2012;New York City;44.0;49
32558;16.12.2012;New York City;44.2;59
32559;17.12.2012;New York City;42.8;46
32560;18.12.2012;New York City;47.3;41
32561;19.12.2012;New York City;45.4;44
32562;20.12.2012;New York City;40.7;52
32563;21.12.2012;New York City;48.3;56
32564;22.12.2012;New York City;38.4;51
32565;23.12.2012;New York City;39.3;48
32566;24.12.2012;New York City;38.8;34
32567;25.12.2012;New York City;37.5;43
32568;26.12.2012;New York City;33.2;42
32569;27.12.2012;New York City;39.1;48
32570;28.12.2012;New York City;33.8;47
32571;29.12.2012;New York City;33.5;33
32572;30.12.2012;New York City;33.5;36
32573;31.12.2012;New York City;33.0;39
